age,years,active_claims,new_claims
00 to 19 Years of age,2011,"9,303","6,465"
20 to 29 Years of age,2011,"11,318","7,562"
30 to 39 Years of age,2011,"8,029","4,650"
40 to 49 Years of age,2011,"8,415","5,170"
50 to 59 Years of age,2011,"6,030","4,034"
60 to 69 Years of age,2011,"3,264","2,379"
70 to 79 Years of age,2011,"1,653","1,259"
80 Years and older,2011,946,780
00 to 19 Years of age,2012,"8,485","5,863"
20 to 29 Years of age,2012,"11,126","7,438"
30 to 39 Years of age,2012,"7,800","4,594"
40 to 49 Years of age,2012,"8,255","5,108"
50 to 59 Years of age,2012,"6,194","4,094"
60 to 69 Years of age,2012,"3,379","2,452"
70 to 79 Years of age,2012,"1,745","1,364"
80 Years and older,2012,932,768
00 to 19 Years of age,2013,"8,574","5,932"
20 to 29 Years of age,2013,"11,438","7,528"
30 to 39 Years of age,2013,"7,936","4,706"
40 to 49 Years of age,2013,"8,345","5,104"
50 to 59 Years of age,2013,"6,506","4,305"
60 to 69 Years of age,2013,"3,572","2,612"
70 to 79 Years of age,2013,"1,823","1,426"
80 Years and older,2013,"1,005",832
00 to 19 Years of age,2014,"7,916","5,780"
20 to 29 Years of age,2014,"11,103","7,802"
30 to 39 Years of age,2014,"7,733","4,719"
40 to 49 Years of age,2014,"8,032","4,958"
50 to 59 Years of age,2014,"6,614","4,454"
60 to 69 Years of age,2014,"3,566","2,673"
70 to 79 Years of age,2014,"1,662","1,351"
80 Years and older,2014,915,761
00 to 19 Years of age,2015,"7,755","6,341"
20 to 29 Years of age,2015,"11,362","8,889"
30 to 39 Years of age,2015,"7,842","5,279"
40 to 49 Years of age,2015,"8,257","5,425"
50 to 59 Years of age,2015,"6,895","4,915"
60 to 69 Years of age,2015,"3,776","2,919"
70 to 79 Years of age,2015,"1,798","1,525"
80 Years and older,2015,905,852
00 to 19 Years of age,2016,"8,165","6,671"
20 to 29 Years of age,2016,"12,029","9,418"
30 to 39 Years of age,2016,"8,383","5,644"
40 to 49 Years of age,2016,"8,428","5,487"
50 to 59 Years of age,2016,"7,127","4,960"
60 to 69 Years of age,2016,"3,952","3,115"
70 to 79 Years of age,2016,"1,967","1,666"
80 Years and older,2016,972,917
00 to 19 Years of age,2017,"8,291","6,706"
20 to 29 Years of age,2017,"12,311","9,600"
30 to 39 Years of age,2017,"8,627","5,835"
40 to 49 Years of age,2017,"8,408","5,462"
50 to 59 Years of age,2017,"7,262","5,100"
60 to 69 Years of age,2017,"4,244","3,259"
70 to 79 Years of age,2017,"2,096","1,781"
80 Years and older,2017,965,853
