ethnicity,years,active_claims,new_claims
Asian,2011,"3,281","2,784"
European,2011,"33,137","21,170"
Maori,2011,"6,887","4,450"
Other Ethnicities /Not stated,2011,"3,707","2,320"
Pacific Peoples,2011,"1,946","1,575"
Asian,2012,"3,376","2,917"
European,2012,"32,324","20,661"
Maori,2012,"6,695","4,311"
Other Ethnicities /Not stated,2012,"3,599","2,271"
Pacific Peoples,2012,"1,922","1,521"
Asian,2013,"3,533","2,982"
European,2013,"33,100","21,079"
Maori,2013,"6,859","4,347"
Other Ethnicities /Not stated,2013,"3,632","2,322"
Pacific Peoples,2013,"2,075","1,715"
Asian,2014,"3,570","3,191"
European,2014,"31,964","20,784"
Maori,2014,"6,615","4,564"
Other Ethnicities /Not stated,2014,"3,406","2,206"
Pacific Peoples,2014,"1,986","1,753"
Asian,2015,"3,956","3,874"
European,2015,"32,460","22,567"
Maori,2015,"6,858","5,399"
Other Ethnicities /Not stated,2015,"3,216","2,256"
Pacific Peoples,2015,"2,100","2,049"
Asian,2016,"4,247","4,042"
European,2016,"33,858","23,416"
Maori,2016,"7,343","5,842"
Other Ethnicities /Not stated,2016,"3,291","2,368"
Pacific Peoples,2016,"2,284","2,210"
Asian,2017,"4,646","4,401"
European,2017,"34,186","23,420"
Maori,2017,"7,601","6,015"
Other Ethnicities /Not stated,2017,"3,401","2,596"
Pacific Peoples,2017,"2,370","2,164"
