month,year,active_claims,New_claims
January,2011,12004,2416
January,2012,11750,2575
January,2013,12035,2578
January,2014,11497,2420
January,2015,11872,2800
January,2016,12817,2946
January,2017,13149,3135
February,2011,12521,2723
February,2012,11957,2549
February,2013,12276,2583
February,2014,12112,2615
February,2015,12894,3048
February,2016,13375,3169
February,2017,13865,3387
March,2011,13474,3075
March,2012,12645,2982
March,2013,12724,2928
March,2014,13322,3140
March,2015,13924,3400
March,2016,14905,3633
March,2017,15011,3400
April,2011,12078,2510
April,2012,13393,2855
April,2013,12929,2695
April,2014,12898,2643
April,2015,13562,2850
April,2016,13801,2776
April,2017,14844,3045
May,2011,13810,2989
May,2012,13387,2853
May,2013,13694,2899
May,2014,13063,2875
May,2015,13965,3513
May,2016,14734,3516
May,2017,15808,3707
June,2011,13128,2597
June,2012,12792,2509
June,2013,13132,2808
June,2014,13278,2874
June,2015,14426,3216
June,2016,14533,3207
June,2017,15236,3182
July,2011,13372,2652
July,2012,13183,2755
July,2013,13566,2771
July,2014,13777,2750
July,2015,13479,2928
July,2016,14074,3070
July,2017,14255,3155
August,2011,13266,2839
August,2012,13184,2565
August,2013,13111,2758
August,2014,12962,2524
August,2015,12978,2843
August,2016,14270,3252
August,2017,14914,3238
September,2011,13495,2679
September,2012,12484,2186
September,2013,12761,2582
September,2014,13211,2580
September,2015,13460,2725
September,2016,13966,2919
September,2017,14409,3108
October,2011,12720,2510
October,2012,12562,2574
October,2013,13006,2611
October,2014,13358,2690
October,2015,13259,2616
October,2016,13684,2926
October,2017,14464,3028
November,2011,13523,2698
November,2012,12949,2819
November,2013,13043,2685
November,2014,12717,2606
November,2015,13029,3120
November,2016,14139,3283
November,2017,14624,3190
December,2011,12970,2611
December,2012,12484,2459
December,2013,13142,2547
December,2014,13440,2781
December,2015,14033,3086
December,2016,14428,3181
December,2017,14789,3021
