Year,Month,Affected Area,Weather Event,Description
2011,December,Tasman,"Heavy Rain, Flood",There was very heavy rain in Tasman-Nelson which resulted in flooding and numerous slips in the region.
2011,December, Nelson,"Heavy Rain, Flood",There was very heavy rain in Tasman-Nelson which resulted in flooding and numerous slips in the region.
2011,November,West Coast,"Flood, Winds",Heavy rain brought flooding to the West Coast. There were also very high winds in Wellington and the Wairarapa.
2011,November, North Island,"Flood, Winds",Heavy rain brought flooding to the West Coast. There were also very high winds in Wellington and the Wairarapa.
2011,August,New Zealand,Snowfall,"Widespread snow in both islands caused much disruption: many roads were closed, schools were closed, CBD work was suspended in Christchurch, and power was cut to thousands of homes."
2011,July,New Zealand,Snowfall,"Widespread snow in both islands caused much disruption, with many roads  closed, many flights to South Island airports cancelled."
2011,June,Taranaki,Tornado,"A swarm of tornados struck North Taranaki (New Plymouth city, Bell Block and Omata) damaging property and causing power outage."
2011,May,Upper North Island,"Heavy Rain, Winds","Strong winds caused damage and disruption in Otago, and heavy rain caused disruption in the Upper North Island on 12 May 2011."
2011,May, Otago,"Heavy Rain, Winds","Strong winds caused damage and disruption in Otago, and heavy rain caused disruption in the Upper North Island on 12 May 2011."
2011,May,Auckland,Tornado,"The tornado formed from a very active and well defined band of thunderstorm activity on 
        the afternoon of the 3rd May 2011. The destructive tornado swept across Auckland's North Shore,
        leaving a trail of destruction from Albany to Glenfield."
2011,April,Hawke's Bay,Flood,"A complex low pressure system resulted in a period of severe gales and heavy rain to many parts of the North Island.  The worst affected area was central Hawke’s Bay, which suffered severe flooding."
2011,January,Upper North Island,Storm,"Ex-tropical cyclone Wilma moved rapidly across the northeastern North Island on January 28 and 29, bringing very heavy rainfall and causing severe flooding and slips."
2011,January,Upper North Island,Flood,Flooding resulted from rainfall from a large low pressure system passing over Auckland at the same time as it experienced a high tide.
2012,December,Auckland,Tornado,"Around midday on Thursday 6 December an active trough line passed slowly through Auckland. A thunderstorm in this line produced a tornado that touched down near Hobsonville and Whenuapai.  After passing northwest Auckland, the line of showers continued on a southeast path that took it across northern Waikato, Bay of Plenty and across Mahia Peninsula"
2012,March,North Island,Storm,"Heavy rain caused flooding and high winds caused damage and disruption in many North Island places.  The worst affected areas were Northland, Gisborne, Taranaki, and Wellington."
2012,March,North Island,Weather Bomb,High winds over one day caused damage and disruption in many North Island places.  The worst affected areas were South Taranaki  and lower North Island.
2013,September,New Zealand,Storm,"An active front crossed New Zealand during the period 10-12 September. The front was preceded by a very strong northwest flow, with very heavy rain and thunderstorms.  The very strong winds caused lots of damage, blew vehicles off roads, and brought down power lines, cutting the power supply to thousands of homes."
2013,June,New Zealand,Storm,"A very strong cold southerly flow swept over the country, bringing very heavy snowfall, heavy rain and gale force winds."
2013,May,New Zealand,Storm,"A deep low pressure system crossed New Zealand during the period 4-6 May, bringing stormy weather to many areas.  Heavy downpours caused chaos around the country with power cut to hundreds of homes, buildings flooded and some flights suspended."
